model,dataset,prompt,base_acc,base_pos_bias,base_verb_corr,acc,pos_bias,verb_corr,d_acc,d_pos_bias,d_verb_corr
Qwen,mtbench,ROLE,0.558,0.592,0.0495,0.3381,0.714,0.029,-0.2199,0.122,-0.0205
Qwen,mtbench,POSITION_NEUTRAL,0.558,0.592,0.0495,0.1392,0.528,-0.1468,-0.4188,-0.064,-0.1963
Qwen,mtbench,COT,0.558,0.592,0.0495,0.1028,1.0,-0.0584,-0.4552,0.408,-0.1079
Qwen,mtbench,RUBRIC,0.558,0.592,0.0495,0.1727,0.626,-0.1215,-0.3853,0.034,-0.171
Qwen,mtbench,SELF_REFINE,0.558,0.592,0.0495,0.2306,0.804,-0.0299,-0.3274,0.212,-0.0794
Qwen,llmbar,ROLE,0.4771,0.5585,0.0922,0.494,0.673,0.0498,0.0169,0.1145,-0.0424
Qwen,llmbar,POSITION_NEUTRAL,0.4771,0.5585,0.0922,0.4981,0.7303,-0.0274,0.021,0.1718,-0.1196
Qwen,llmbar,COT,0.4771,0.5585,0.0922,0.4928,0.9976,-0.0757,0.0157,0.4391,-0.1679
Qwen,llmbar,RUBRIC,0.4771,0.5585,0.0922,0.5286,0.8019,-0.0959,0.0515,0.2434,-0.1881
Qwen,llmbar,SELF_REFINE,0.4771,0.5585,0.0922,0.4555,0.8305,0.0759,-0.0216,0.272,-0.0163
TinyLlama,mtbench,ROLE,0.0615,0.166,-0.0011,0.1607,0.182,-0.0359,0.0992,0.016,-0.0348
TinyLlama,mtbench,POSITION_NEUTRAL,0.0615,0.166,-0.0011,0.0,0.012,,-0.0615,-0.154,
TinyLlama,mtbench,COT,0.0615,0.166,-0.0011,0.1228,0.174,-0.0508,0.0613,0.008,-0.0497
TinyLlama,mtbench,RUBRIC,0.0615,0.166,-0.0011,0.1481,0.098,-0.0101,0.0866,-0.068,-0.009
TinyLlama,mtbench,SELF_REFINE,0.0615,0.166,-0.0011,0.0804,0.8381,-0.1342,0.0189,0.6721,-0.1331
TinyLlama,llmbar,ROLE,0.5,0.0477,-0.0239,0.6667,0.0406,-0.1496,0.1667,-0.0071,-0.1257
TinyLlama,llmbar,POSITION_NEUTRAL,0.5,0.0477,-0.0239,0.5,0.0215,-0.0435,0.0,-0.0262,-0.0196
TinyLlama,llmbar,COT,0.5,0.0477,-0.0239,0.5625,0.0668,0.0252,0.0625,0.0191,0.0491
TinyLlama,llmbar,RUBRIC,0.5,0.0477,-0.0239,0.6667,0.0382,-0.0962,0.1667,-0.0095,-0.0723
TinyLlama,llmbar,SELF_REFINE,0.5,0.0477,-0.0239,0.5015,0.8902,-0.0834,0.0015,0.8425,-0.0595
Mistral,mtbench,ROLE,0.2117,0.9071,0.217,0.1637,0.8643,0.0408,-0.048,-0.0428,-0.1762
Mistral,mtbench,POSITION_NEUTRAL,0.2117,0.9071,0.217,0.1233,0.9571,-0.0276,-0.0884,0.05,-0.2446
Mistral,mtbench,COT,0.2117,0.9071,0.217,0.3837,0.6786,0.2386,0.172,-0.2285,0.0216
Mistral,mtbench,RUBRIC,0.2117,0.9071,0.217,0.3401,0.7214,0.2175,0.1284,-0.1857,0.0005
Mistral,mtbench,SELF_REFINE,0.2117,0.9071,0.217,0.1184,0.9762,0.1065,-0.0933,0.0691,-0.1105
Mistral,llmbar,ROLE,0.4821,0.9451,0.1167,0.4789,0.9093,0.0153,-0.0032,-0.0358,-0.1014
Mistral,llmbar,POSITION_NEUTRAL,0.4821,0.9451,0.1167,0.5217,0.9499,-0.0777,0.0396,0.0048,-0.1944
Mistral,llmbar,COT,0.4821,0.9451,0.1167,0.4903,0.8974,0.0718,0.0082,-0.0477,-0.0449
Mistral,llmbar,RUBRIC,0.4821,0.9451,0.1167,0.4763,0.8401,0.1124,-0.0058,-0.105,-0.0043
Mistral,llmbar,SELF_REFINE,0.4821,0.9451,0.1167,0.4875,0.9714,0.0358,0.0054,0.0263,-0.0809
